,Open,High,Close
0,280.53,284.25,284.0
1,282.23,282.65,279.44
2,279.5,281.18,280.02
3,279.8,281.9,279.74
4,279.57,281.77,280.41
5,277.0,280.79,279.86
6,271.46,275.3,275.15
7,267.78,272.5599,271.46
8,268.81,271.1,270.77
9,268.6,270.07,268.48
10,270.0,270.8,266.92
11,267.48,271.0,270.71
12,263.79,265.89,265.58
13,261.07,263.31,261.74
14,258.31,259.53,259.45
15,267.27,268.25,264.16
16,266.6,268.0,267.25
17,265.58,267.98,267.84
18,266.94,267.16,264.29
19,262.71,266.44,266.37
20,262.59,263.18,261.78
21,263.69,264.005,262.01
22,265.54,266.08299999999997,263.19
23,267.9,268.0,266.29
24,265.8,267.43,267.1
25,263.68,265.78,265.76
26,263.75,264.88,262.64
27,261.13,264.78,264.47
28,261.55,262.79,261.96
29,258.3,262.47,262.2
30,258.69,260.44,260.14
31,258.74,260.35,259.43
32,256.77,257.49,257.24
33,257.05,258.19,257.13
34,257.33,257.845,257.5
35,249.54,255.93,255.82
36,247.24,249.17,248.76
37,244.76,245.3,243.26
38,248.97,249.75,243.29
39,247.42,249.25,249.05
40,243.16,246.73,246.58
41,244.51,244.8,243.58
42,242.1,243.24,243.18
43,241.16,242.2,239.96
44,237.52,240.99,240.51
45,234.59,237.58,236.41
46,235.09,236.15,235.28
47,233.37,235.24,234.37
48,236.39,237.65,235.32
49,234.9,238.1342,235.87
50,232.95,237.64,236.21
51,227.93,230.44,230.09
52,227.03,227.79,227.03
53,225.82,228.06,224.4
54,226.27,229.93,227.06
55,225.64,227.49,227.01
56,218.43,220.96,220.82
57,223.06,223.58,218.96
58,225.07,228.22,224.59
59,220.9,224.58,223.97
60,220.54,220.96,218.82
61,220.0,220.94,219.89
62,218.55,221.5,221.03
63,221.055,222.49,217.68
64,218.95,219.84,218.72
65,221.38,222.56,217.73
66,222.01,223.76,220.96
67,221.06,222.85,222.77
68,219.96,220.82,220.7
69,217.73,220.13,219.9
70,220.0,220.79,218.75
71,224.8,226.42,223.085
72,218.07,223.71,223.59
73,213.86,216.78,216.7
74,214.84,216.44,214.17
75,214.05,214.42,213.26
76,212.0,213.97,213.28
77,208.39,209.48,209.19
78,206.43,206.98,205.7
79,210.16,210.45,208.74
80,208.5,209.32,209.01
81,204.1,205.72,205.53
82,207.86,208.55,204.16
83,205.86,207.19,206.49
84,209.43,212.051,202.64
85,213.19,214.435,212.46
86,212.99,213.65,212.64
87,210.88,213.35,210.36
88,210.62,212.7307,210.35
89,204.28,207.16,206.5
90,203.46,205.14,201.74
91,203.16,206.44,202.75
92,201.02,212.14,208.97
93,199.62,202.0516,200.48
94,201.3,202.76,200.99
95,200.2,203.53,203.43
96,195.41,199.56,199.04
97,196.31,198.067,197.0
98,197.99,198.649,193.34
99,205.53,206.43,204.02
100,213.9,218.03,208.43
101,216.42,221.37,213.04
102,208.76,210.16,208.78
103,208.46,210.64,209.68
104,207.48,209.73,207.74
105,208.89,209.24,207.02
106,207.67,209.15,208.67
107,208.46,208.91,208.84
108,203.65,207.23,207.22
109,205.79,206.5,202.59
110,204.0,205.88,205.66
111,204.05,205.0915,203.35
112,204.59,206.11,204.5
113,204.09,205.87,205.21
114,202.45,204.0,203.3
115,203.31,204.39,201.75
116,201.85,203.73,203.23
117,199.2,201.51,201.24
118,200.81,201.4,200.02
119,203.35,205.08,204.23
120,203.28,204.44,204.41
121,201.41,203.1323,202.73
122,203.17,204.49,201.55
123,198.68,199.495,197.92
124,200.29,201.57,199.74
125,197.77,200.99,199.8
126,198.43,199.26,195.57
127,198.54,200.16,198.58
128,198.8,200.85,198.78
129,200.37,200.61,199.46
130,199.68,199.88,197.87
131,196.05,200.29,198.45
132,192.9,194.96,193.89
133,191.545,193.5863,192.74
134,194.7,196.79,194.15
135,193.95,195.97,194.19
136,194.86,196.0,194.81
137,191.81,195.37,192.58
138,186.51,191.92,190.15
139,183.08,185.47,185.22
140,184.28,184.99,182.54
141,175.44,179.83,179.64
142,175.6,177.92,173.3
143,176.23,177.99,175.07
144,177.95,179.23,178.3
145,176.42,179.35,177.38
146,178.92,180.59,178.23
147,180.2,182.14,178.97
148,179.8,180.54,179.66
149,184.66,185.71,182.78
150,185.22,188.0,186.6
151,183.52,184.34900000000002,183.09
152,186.93,190.9,189.0
153,189.91,192.4689,190.08
154,186.27,191.75,190.92
155,186.41,189.7,188.66
156,187.71,189.48,185.72
157,197.419,198.85,197.18
158,200.4,201.68,200.72
159,201.9,205.34,202.9
160,205.88,207.4175,202.86
161,204.29,208.84,208.48
162,210.89,211.84,211.75
163,209.84,212.65,209.15
164,209.88,215.31,210.52
165,203.06,203.4,200.67
166,204.4,205.97,204.61
167,204.9,205.0,204.3
168,206.83,207.76,205.28
169,207.36,208.48,207.16
170,204.43,207.75,207.48
171,202.83,204.94,204.53
172,203.12,204.15,203.86
173,199.54,203.38,203.13
174,199.46,201.37,199.25
175,198.58,199.85,199.23
176,199.2,200.14,198.87
177,200.85,201.0,198.95
178,198.68,200.74,200.62
179,200.32,202.85,199.5
180,196.42,200.23,200.1
181,196.45,197.1,197.0
182,194.79,196.37,195.69
183,193.25,196.5,195.35
184,191.09,194.46,194.02
185,191.64,191.68,191.24
186,189.83,190.08,189.95
187,188.95,189.55900000000003,188.72
188,188.75,189.76,188.47
189,191.66400000000002,192.88,186.79
